#ZVView-data-copy:   6-Feb-2012 13:45:14
#=======================================
#
#name:   ENDF/B-VII.0: GD-155(N,G)GD-156
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9789
#data...
#            X            Y
#          MeV        barns
    5.24114e-6      20.9695
    5.27759e-6      21.9066
    5.31405e-6      22.9633
    5.35154e-6       24.193
    5.38902e-6      25.5906
    5.41714e-6      26.7656
    5.44525e-6      28.0645
    5.47363e-6      29.5178
    5.50254e-6      31.1663
    5.53145e-6      33.0112
    5.56035e-6      35.0841
    5.58926e-6      37.4217
    5.61817e-6      40.0681
    5.64596e-6      42.9543
    5.66449e-6      45.0941
    5.68302e-6      47.4305
    5.70155e-6      49.9883
    5.72008e-6      52.7969
    5.73861e-6      55.8907
    5.75714e-6      59.3105
    5.77365e-6      62.6716
    5.78815e-6      65.8984
    5.80265e-6      69.4148
    5.81715e-6      73.2567
    5.83165e-6      77.4652
    5.84615e-6      82.0887
    5.86065e-6      87.1837
    5.87515e-6       92.817
     5.8882e-6       98.412
     5.8998e-6      103.859
     5.9114e-6      109.811
      5.923e-6       116.33
     5.9346e-6      123.493
     5.9462e-6      131.387
     5.9578e-6      140.117
     5.9694e-6      149.806
    5.97919e-6      158.836
    5.99115e-6      171.095
    5.99912e-6      180.121
     6.0071e-6       189.92
    6.01508e-6      200.585
    6.02305e-6      212.222
    6.03102e-6      224.954
      6.039e-6      238.922
    6.04552e-6      251.385
    6.05205e-6      264.891
    6.05858e-6      279.559
     6.0651e-6      295.525
    6.07163e-6      312.944
    6.07815e-6      331.995
    6.08467e-6      352.881
     6.0912e-6      375.836
    6.09664e-6      396.739
    6.10208e-6      419.438
    6.10751e-6      444.129
    6.11295e-6      471.028
    6.11839e-6      500.375
    6.12383e-6      532.432
    6.12926e-6      567.488
     6.1347e-6      605.854
    6.14014e-6      647.865
    6.14557e-6      693.875
    6.15101e-6      744.254
    6.15645e-6      799.379
    6.16189e-6      859.631
    6.16732e-6      925.375
    6.17276e-6      996.954
     6.1782e-6      1074.66
    6.18364e-6      1158.74
    6.18908e-6      1249.34
    6.19451e-6      1346.49
    6.20176e-6      1486.03
     6.2072e-6      1597.84
    6.21445e-6      1755.48
    6.22482e-6      1994.44
    6.24664e-6      2513.57
    6.25534e-6      2707.68
    6.26404e-6       2882.3
    6.26984e-6       2983.8
    6.27564e-6       3070.7
    6.28144e-6      3140.96
    6.28724e-6      3192.92
    6.29304e-6      3225.29
    6.29942e-6      3237.34
    6.30568e-6      3224.85
    6.31044e-6      3199.46
     6.3174e-6       3138.6
    6.32291e-6      3071.71
    6.32929e-6      2975.66
    6.33538e-6      2867.75
    6.34408e-6      2691.45
    6.35278e-6      2496.52
    6.37801e-6      1898.74
    6.38483e-6      1743.87
    6.39208e-6      1587.09
    6.39932e-6      1440.18
    6.40476e-6      1337.15
     6.4102e-6      1240.53
    6.41673e-6      1133.15
    6.42325e-6      1035.03
    6.42978e-6      945.856
    6.43412e-6      891.164
    6.43848e-6      840.089
    6.44282e-6      792.456
    6.44754e-6      744.522
    6.45261e-6      696.897
    6.45769e-6      653.122
    6.46276e-6        612.9
    6.46784e-6      575.943
    6.47291e-6      541.977
    6.47799e-6      510.743
    6.48306e-6      482.002
     6.4885e-6       453.72
     6.4943e-6       426.14
     6.5001e-6      400.962
     6.5059e-6      377.936
     6.5117e-6      356.841
     6.5175e-6      337.479
     6.5233e-6      319.674
     6.5291e-6       303.27
    6.53562e-6      286.317
    6.54287e-6      269.145
    6.55012e-6      253.525
    6.55737e-6      239.278
    6.56462e-6       226.25
    6.57188e-6      214.307
    6.57913e-6      203.333
    6.58638e-6      193.227
    6.59508e-6      182.122
    6.60523e-6      170.409
    6.61538e-6      159.867
    6.62553e-6      150.346
    6.63568e-6      141.719
